Label,Time,SHTM,Double,Risk,Overwork,Slice,SoftRegr,HardRegr
Aa,1.14,9,3,0.15,0,0,0,1
Ab,1.11,9,3,0.21,0,0,0,1
E,1.36,16,0,0.19,0,0,0,1
F,1.56,18,1,0.2,0,0,0,1
Ga,1.65,12,2,0.37,0,0,0,2
Gb,1.62,12,2,0.29,0,0,1,1
Gc,1.68,15,6,0.18,1,0,1,1
Gd,1.41,12,2,0.17,0,0,0,2
H,1.27,7,5,0.3,6,4,1,0
Ja,1.3,11,2,0.17,0,0,2,0
Jb,1.09,13,1,0.19,1,0,0,0
Na,2.05,21,2,0.26,2,0,0,0
Nb,2.1,14,2,0.19,2,0,1,3
Ra,1.54,17,2,0.23,2,0,0,0
Rb,1.49,15,1,0.1,1,0,0,1
T,1.1,14,1,0.17,1,0,0,0
Ua,1.03,11,1,0.18,3,0,1,1
Ub,1.02,11,1,0.09,1,0,1,0
V,1.91,15,1,0.29,2,0,1,1
Y,1.48,17,0,0.17,1,0,0,1
Z,1.5,16,2,0.2,2,0,1,1
1,1.36,11,3,0.15,0,0,2,0
2,1.29,11,3,0.14,2,0,0,0
3,1.55,13,0,0.16,0,0,0,1
4,1.55,13,0,0.16,0,0,0,1
5,0.82,7,1,0.12,0,0,0,0
6,0.77,7,1,0.07,1,0,0,0
7,0.66,7,1,0.04,0,0,0,0
8,0.89,8,2,0.1,1,0,0,0
9,1.38,11,1,0.23,0,0,1,0
10,1.05,11,1,0.14,1,0,0,0
11,1.08,10,1,0.11,0,2,0,0
12,1.27,13,0,0.07,0,0,0,1
13,1.13,10,1,0.18,1,0,1,0
14,1.26,10,0,0.23,0,0,0,1
15,1.17,10,0,0.11,0,0,1,0
16,0.94,10,0,0.1,0,0,1,0
17,1.41,13,1,0.16,2,0,0,0
18,1.40,11,1,0.15,1,0,0,2
19,1.40,11,0,0.23,1,2,1,0
20,1.65,11,1,0.27,2,2,1,0
21,0.81,11,1,0.03,0,0,0,0
22,1.00,9,5,0.16,3,0,0,0
23,1.30,9,3,0.19,2,0,0,1
24,0.58,8,1,0.04,0,0,1,0
25,1.08,8,0,0.22,0,0,0,0
26,0.67,7,1,0.04,0,0,0,0
27,0.57,7,1,0.01,0,0,0,0
28,1.06,10,0,0.12,0,0,0,0
29,1.36,11,0,0.18,0,2,1,0
30,1.41,12,2,0.15,0,0,0,1
31,0.95,9,0,0.06,0,0,0,1
32,1.27,9,0,0.21,0,1,0,1
33,0.87,8,0,0.13,1,0,0,0
34,1.24,13,1,0.16,0,0,0,1
35,0.93,9,3,0.15,0,0,0,0
36,1.51,12,0,0.22,1,0,0,1
37,0.80,9,0,0.1,1,0,0,1
38,1.21,12,0,0.14,1,0,0,0
39,1.14,9,0,0.2,0,0,2,0
40,0.83,9,0,0.05,1,0,0,0
41,1.31,13,1,0.08,0,0,0,1
42,1.34,9,0,0.17,1,2,0,1
43,0.77,6,0,0.09,0,0,0,0
44,0.74,6,0,0.09,0,0,0,0
45,0.64,6,0,0.09,0,0,0,0
46,0.88,8,0,0.07,1,0,0,1
47,1.03,12,0,0.08,3,0,0,1
48,0.88,10,0,0.09,0,0,0,1
49,1.18,10,4,0.11,3,0,0,0
50,0.91,9,3,0.06,2,0,0,0
51,0.92,10,0,0.07,0,0,0,0
52,1.21,11,0,0.13,1,0,0,1
53,1.00,11,1,0.12,2,0,0,0
54,1.00,11,1,0.08,1,0,0,0
55,1.58,12,2,0.28,1,0,0,0
56,1.33,14,0,0.12,1,0,0,0
57,0.83,9,0,0.07,0,1,0,0
